"Avaliando IDEPB - 2017
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA
Rede Estadual";;;;;;;;;;;;;
Retorna Índice.;;;;;;;;;;;;;
Código da Etapa de Escolaridade;Etapa de Escolaridade;Rede de Ensino;Código de GRE;GRE;Código de Município;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091549;EEEFM JOSE GUEDES CAVALCANTE;4,36;3,76;4,06;0,69;2,79
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091603;EEEFM PEDRO AMERICO;3,65;3,55;3,60;0,54;1,93
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091611;EEEFM PROFESSOR PEDRO ANIBAL MOURA;4,11;3,72;3,91;0,65;2,54
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091620;EEEFM ABREU E LIMA;3,19;3,06;3,12;0,46;1,44
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091638;EEEFM IMACULADA CONCEICAO;3,61;3,61;3,61;0,80;2,87
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504603;CONDE;25092111;EEEFM PROF JOAO DA CUNHA VINAGRE;3,53;3,57;3,55;0,69;2,46
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25092839;CENTRO EST EXP DE ENS A SESQUICENTENARIO;5,74;5,06;5,40;0,93;5,04
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25092871;CENTRO PROFIS DEP ANTONIO CABRAL;4,54;4,52;4,53;0,65;2,95
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093835;EEEFM COMP LUIS RAMALHO;4,69;4,29;4,49;0,82;3,66
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093843;EEEFM CON FRANCISCO GOMES DE LIMA;4,94;4,63;4,79;0,67;3,21
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093851;EEEFM PROFª LILIOSA DE PAIVA LEITE;4,48;4,26;4,37;0,62;2,69
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093860;EEEFM RAUL MACHADO;3,35;3,31;3,33;0,66;2,20
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093878;EEEM CON LUIZ GONZAGA DE OLIVEIRA;3,89;3,74;3,82;0,54;2,06
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093886;EEEFM FRANCISCA A CUNHA;3,72;3,70;3,71;0,61;2,25
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093894;EEEM PROF PEDRO AUGUSTO PORTO CAMINHA;4,11;4,07;4,09;0,64;2,60
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093916;EEEFM PROF RAUL CORDULA;4,62;3,58;4,10;0,53;2,17
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093932;EEEFM PROF DAURA SANTIAGO RANGEL;4,34;3,78;4,06;0,69;2,79
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093959;EEEFM PROF OLIVINA OLIVIA CARNEIRO DA CUNHA;4,71;4,28;4,49;0,70;3,15
