"Avaliando IDEPB - 2017
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA
Rede Estadual";;;;;;;;;;;;;
Retorna Índice.;;;;;;;;;;;;;
Código da Etapa de Escolaridade;Etapa de Escolaridade;Rede de Ensino;Código de GRE;GRE;Código de Município;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094718;EEEF PROF ADELIA DE FRANCA;5,35;5,25;5,30;0,84;4,47
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094734;EEEF PROFª MARIA DE FATIMA SOUTO;5,68;5,18;5,43;0,87;4,73
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094742;EEEFM PROFESSORA MARIA JACY COSTA;5,35;4,64;5,00;0,76;3,82
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094955;EEEF ADELAIDE NOVAIS;5,32;5,76;5,54;0,91;5,04
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094971;EEEF MONS ODILON COUTINHO;5,61;5,56;5,59;0,87;4,85
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095005;EEEF GUSTAVO CAPANEMA;4,14;4,01;4,08;0,84;3,44
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095013;EEEF PROFESSORA ANTONIA RANGEL DE FARIAS;5,21;5,31;5,26;0,94;4,96
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095153;EEEF PROFª RITA DE MIRANDA HENRIQUES;5,06;4,62;4,84;0,92;4,46
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25097725;INSTITUTO DE EDUCACAO DA PARAIBA IEP;5,81;5,59;5,70;0,93;5,28
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099124;EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO;4,34;4,35;4,35;0,67;2,90
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099132;EEEF ALINE SILVA MADRUGA;3,67;4,10;3,88;0,82;3,20
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099167;EEEF JOSE MARIANO;4,63;4,38;4,50;0,93;4,19
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099183;EEEF ANDRE VIDAL DE NEGREIROS;3,73;3,72;3,73;0,79;2,95
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099205;EEEF PREFEITO ANTONIO TEIXEIRA;4,14;4,21;4,17;0,83;3,45
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099230;EEEF JOAO URSULO;5,36;5,10;5,23;0,93;4,85
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099248;EEEF MACHADO DE ASSIS;5,88;5,77;5,82;0,99;5,79
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099264;EEEF VARZEA NOVA;4,32;4,14;4,23;0,79;3,32
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099507;ENEEFM ANISIO PEREIRA BORGES;4,15;3,83;3,99;0,94;3,73
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2500601;ALHANDRA;25100041;EEEF BARAO DO ABIAI;4,03;4,16;4,10;0,76;3,10
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503001;CAAPORA;25100459;EEEF ALBERTO LUNDGREN;4,46;4,71;4,59;0,87;3,97
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25105183;EEEF IRMA SEVERINA CAVALCANTE SOUTO;4,52;4,44;4,48;0,98;4,40
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25110926;EEEF SAO RAFAEL;5,64;5,76;5,70;0,86;4,90
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114425;EEEF GOV ANTONIO MARIZ;5,56;5,33;5,45;0,85;4,66
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114506;EEEFM PROF JOSE BAPTISTA DE MELLO;5,56;5,71;5,63;0,77;4,36
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114905;EEEF MILTON CAMPOS;6,30;5,40;5,85;0,91;5,30
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25115049;EEEF PROF PAULO FREIRE;4,78;4,13;4,46;0,75;3,35
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25124277;EEEFM SEVERINO DIAS DE OLIVEIRA MESTRE SIVUCA;4,20;4,17;4,19;0,70;2,93
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25153218;EEEF ODILON RIBEIRO COUTINHO;4,40;4,21;4,31;0,86;3,71
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088530;EEEFM DEP FERNANDO MILANEZ;3,39;3,53;3,46;0,45;1,55
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088572;EEEFM FLAVIO RIBEIRO COUTINHO;3,35;3,52;3,44;0,99;3,40
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088602;EEEF CAMPO DE SEMENTES E MUDAS;3,96;3,87;3,92;0,90;3,52
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2509107;MARI;25088971;EEEF LUIZ MARIA DE FRANCA;4,09;4,31;4,20;0,84;3,51
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2515302;SAPE;25089773;EEEF STELLA DA CUNHA SANTOS;3,62;3,80;3,71;0,75;2,78
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2515302;SAPE;25089811;EEEF FAZENDA BURACAO;2,96;2,94;2,95;0,75;2,21
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2515302;SAPE;25089820;EEEFM GENTIL LINS;3,29;3,67;3,48;0,86;3,00
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090879;EEEFM ENG JOSE DAVILA LINS;2,56;3,06;2,81;0,41;1,14
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090887;EEEFM PROF ANTONIO GOMES;3,98;4,19;4,08;0,61;2,49
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090976;EEEF GETULIO VARGAS;3,69;3,77;3,73;0,75;2,78
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090984;EEEFM JOAO CAETANO;3,91;4,11;4,01;0,88;3,51
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25091000;EEEF TANCREDO NEVES;4,18;3,99;4,09;0,61;2,49
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25091018;EEEF VERALDO LEITE;4,71;4,81;4,76;0,76;3,60
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091573;EEEF JOAO XXIII;3,98;3,99;3,99;0,97;3,85
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091603;EEEFM PEDRO AMERICO;4,44;4,47;4,46;0,44;1,98
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091611;EEEFM PROFESSOR PEDRO ANIBAL MOURA;2,53;3,27;2,90;0,61;1,77
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091620;EEEFM ABREU E LIMA;4,41;3,79;4,10;0,58;2,36
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091638;EEEFM IMACULADA CONCEICAO;3,22;3,34;3,28;0,72;2,36
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25092839;CENTRO EST EXP DE ENS A SESQUICENTENARIO;5,96;5,83;5,89;0,87;5,14
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25092871;CENTRO PROFIS DEP ANTONIO CABRAL;4,50;4,40;4,45;0,51;2,29
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093622;EEEF FRANCISCO CAMPOS;5,39;5,44;5,42;0,95;5,13
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093746;EEEF PROF TERCIA BONAVIDES LINS;4,21;4,03;4,12;0,62;2,54
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093843;EEEFM CON FRANCISCO GOMES DE LIMA;3,32;3,41;3,37;0,58;1,95
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093860;EEEFM RAUL MACHADO;4,39;4,01;4,20;0,62;2,60
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093894;EEEM PROF PEDRO AUGUSTO PORTO CAMINHA;3,47;3,83;3,65;0,68;2,50
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093916;EEEFM PROF RAUL CORDULA;4,77;4,05;4,41;0,68;2,98
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093932;EEEFM PROF DAURA SANTIAGO RANGEL;4,59;4,42;4,50;0,74;3,31
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093967;EEEFM PROF MARIA BRONZEADO MACHADO;4,71;4,51;4,61;0,55;2,55
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093975;EEEFM CONEGO NICODEMOS NEVES;4,84;4,41;4,63;0,70;3,24
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094025;EEEFM TENENTE LUCENA;4,48;4,49;4,49;0,76;3,39
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094033;EEEFM MANOEL LISBOA DE MOURA;5,60;4,78;5,19;0,71;3,68
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094041;EEEF PROFA ARGENTINA PEREIRA GOMES;4,34;4,45;4,39;0,95;4,19
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094106;EEEFM LUZIA SIMOES BARTOLLINI;4,31;4,39;4,35;0,71;3,07
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094114;EEEIEJAFM DONA ALICE CARNEIRO;4,58;4,36;4,47;0,38;1,71
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094122;CPM-ESTUDANTE REBECA CRISTINA ALVES SIMOES;4,99;5,43;5,21;0,82;4,27
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094130;EEEFM ESCRITOR HORACIO DE ALMEIDA;5,12;4,87;4,99;0,82;4,08
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094173;EEEF PADRE MIGUELINHO;3,58;3,97;3,77;0,54;2,03
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094181;EEEFM PAPA PAULO VI;4,43;4,37;4,40;0,66;2,91
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094203;EEEFM DOM JOSE MARIA PIRES;3,78;3,45;3,62;0,41;1,48
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094211;EEEFM JOSE DO PATROCINIO;3,91;4,13;4,02;0,34;1,37
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094262;EEEF PROFESSOR JOAO JOSE DA COSTA;4,20;4,33;4,26;0,88;3,77
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094327;EEEF ALMIRANTE TAMANDARE;3,69;3,99;3,84;0,78;2,99
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094335;EEEF ANA HIGINA;4,66;4,34;4,50;0,71;3,21
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094360;EEEF BORGES DA FONSECA;5,30;5,57;5,44;0,48;2,59
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094432;EEEFM DOMINGOS JOSE DA PAIXAO;4,97;4,65;4,81;0,85;4,09
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094440;EEEF DR JOAO NAVARRO FILHO;3,52;3,98;3,75;0,47;1,75
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094459;EEEF DR OTAVIO NOVAIS;3,33;4,06;3,69;0,81;2,98
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094530;EEEF HENRIQUE DIAS;5,48;4,73;5,11;0,77;3,94
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094556;EEEF ISABEL MARIA DAS NEVES;4,57;4,76;4,66;0,82;3,84
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094629;EEEF PROFª MARIA GENY DE SOUSA TIMOTEO;4,30;4,34;4,32;0,75;3,24
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094637;EEEFM MONS PEDRO ANISIO BEZERRA DANTAS;3,35;4,05;3,70;0,42;1,55
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094661;EEEF PEDRO LINS VIEIRA DE MELO;4,71;4,55;4,63;0,82;3,80
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094726;EEEFM PROF CELESTIN MALZAC;5,79;5,23;5,51;0,93;5,15
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094734;EEEF PROFª MARIA DE FATIMA SOUTO;5,36;4,92;5,14;0,61;3,15
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094742;EEEFM PROFESSORA MARIA JACY COSTA;5,26;4,59;4,92;0,58;2,84
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094750;EEEFM PROF OLIVIO PINTO;3,90;4,08;3,99;0,57;2,27
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094777;EEEFM PROFª DEBORA DUARTE;3,45;3,99;3,72;0,51;1,88
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094793;EEEF SANTOS DUMONT;4,32;4,05;4,18;0,86;3,61
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095013;EEEF PROFESSORA ANTONIA RANGEL DE FARIAS;4,06;4,63;4,35;0,69;2,99
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095021;EEEFM GONCALVES DIAS;3,94;3,79;3,86;0,86;3,31
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095080;EEEFM PADRE ROMA;3,92;3,80;3,86;0,63;2,44
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25097733;INSTITUTO DOM ADAUTO;5,87;5,78;5,82;0,79;4,62
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2508604;LUCENA;25098632;EEEFM IZAURA FALCAO DE CARVALHO;4,29;4,00;4,14;0,45;1,86
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099116;EEEFM PROF LUIS DE AZEVEDO SOARES;4,38;4,16;4,27;0,67;2,87
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099124;EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO;3,58;3,78;3,68;0,43;1,57
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099132;EEEF ALINE SILVA MADRUGA;3,76;4,23;4,00;0,80;3,21
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099159;EEEFM ENEAS CARVALHO;3,57;3,72;3,65;0,54;1,98
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099175;EEEF MARIA HONORINA SANTIAGO;4,26;4,07;4,17;0,57;2,39
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099230;EEEF JOAO URSULO;4,48;4,85;4,67;0,92;4,29
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099256;EEEFM MARIA DE LOURDES ARAUJO;4,20;4,33;4,27;0,72;3,07
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099264;EEEF VARZEA NOVA;4,08;3,64;3,86;0,81;3,13
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099957;EEEFM DE FORTE VELHO;3,41;3,57;3,49;0,49;1,70
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2500601;ALHANDRA;25100033;EEEFM RENATO RIBEIRO COUTINHO;3,54;3,75;3,65;0,92;3,34
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2500601;ALHANDRA;25100041;EEEF BARAO DO ABIAI;4,51;3,90;4,20;0,69;2,91
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2511905;PITIMBU;25101072;EEEFM DR JOAO GONCALVES;4,71;4,60;4,66;0,71;3,31
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2511905;PITIMBU;25101099;EEEFM DURVAL GUEDES;2,89;3,61;3,25;0,77;2,51
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2500601;ALHANDRA;25102519;EEEFM ANTONIO CAMELO;4,35;4,42;4,38;0,55;2,41
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114425;EEEF GOV ANTONIO MARIZ;4,87;4,83;4,85;0,83;4,04
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114506;EEEFM PROF JOSE BAPTISTA DE MELLO;6,16;5,28;5,72;0,65;3,72
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114905;EEEF MILTON CAMPOS;3,27;4,04;3,65;0,74;2,69
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25115049;EEEF PROF PAULO FREIRE;4,20;3,95;4,07;0,58;2,36
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504603;CONDE;25115618;EEEF PROFª ILZA DE ALMEIDA RIBEIRO;3,55;3,81;3,68;0,68;2,50
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25116762;EEEFM LUIZ RIBEIRO LIMEIRA;4,46;4,16;4,31;0,85;3,64
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25124277;EEEFM SEVERINO DIAS DE OLIVEIRA MESTRE SIVUCA;4,32;4,02;4,17;0,76;3,17
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25126180;EEEM CINEASTA LINDUARTE NORONHA;4,75;4,43;4,59;0,44;2,00
41;9º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25153218;EEEF ODILON RIBEIRO COUTINHO;3,93;5,14;4,54;0,92;4,18
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2501005;ARARUNA;25058975;EEEFM BENJAMIN MARANHAO;3,88;3,62;3,75;0,88;3,31
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2512747;RIACHAO;25058991;EEEFM PEDRO RIBEIRO DE LIMA;4,43;3,88;4,15;0,86;3,56
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2503506;CACIMBA DE DENTRO;25059629;EEEFM SENADOR HUMBERTO LUCENA;5,45;5,03;5,24;0,77;4,01
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2505709;DONA INES;25060058;EEEFM GOVERNADOR CLOVIS BEZERRA CAVALCANTI;3,71;3,66;3,69;0,73;2,67
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2516003;SOLANEA;25060376;EEEFM DR ALFREDO PESSOA DE LIMA;4,20;3,73;3,97;0,69;2,72
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2516003;SOLANEA;25060406;EEEFM ARLINDO RAMALHO;3,28;2,98;3,13;0,68;2,14
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2516409;TACIMA;25060996;EEEFM DR TERCILIO TEIXEIRA DA CRUZ;3,99;3,38;3,69;0,70;2,58
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2501500;BANANEIRAS;25064894;EEEFM JOSE ROCHA SOBRINHO CEPES BN-1;4,37;4,03;4,20;0,66;2,76
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2501500;BANANEIRAS;25065025;ENE PROF PEDRO A DE ALMEIDA;4,13;3,55;3,84;0,69;2,64
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2502706;BORBOREMA;25065513;EEEFM EFIGENIO LEITE;3,38;3,31;3,35;0,71;2,37
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2511608;PILOES;25065726;EEEFM ANTONIETA C DE MENEZES;3,87;3,57;3,72;0,87;3,25
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2515906;SERRARIA;25066013;EEEFM ANTONIO BENTO;4,56;3,78;4,17;0,59;2,47
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2500502;ALAGOINHA;25066374;EEEFM AGENOR CLEMENTE DOS SANTOS;4,37;3,99;4,18;0,77;3,23
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2500809;ARACAGI;25066676;EEEM FRANCISCO PESSOA DE BRITO;3,92;3,42;3,67;0,74;2,73
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2501906;BELEM;25067133;EEEFM MARCIA GUEDES ALCOFORADO DE CARVALHO;3,78;3,54;3,66;0,73;2,67
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2503605;CAICARA;25067460;EEEFM PROF MARIA GERTRUDES DE CARVALHO NEVES;4,46;4,19;4,32;0,81;3,51
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2508554;LOGRADOURO;25067737;EEEF PREF JOSE ANTONIO NEVES;4,07;3,56;3,81;0,98;3,72
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2505204;CUITEGI;25067869;EEEFM ODILON NELSON DANTAS;3,73;3,58;3,66;0,78;2,84
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2505808;DUAS ESTRADAS;25068075;EEEFM SAGRADO CORACAO DE JESUS;3,96;3,54;3,75;0,75;2,82
27;3ª série do Ensino Médio;ESTADUAL;2;2ª GRE-GUARABIRA;2515930;SERTAOZINHO;25068342;EEEFM JOAO DE FREITAS MOUZINHO;3,25;3,32;3,28;0,87;2,84
