"IDEPB - 2018
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA";;;;;;;;;;
Etapa de Escolaridade;Rede de Ensino;GRE;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091654;EEEF SAO JUDAS TADEU;5,23;5,37;5,30;0,81;4,28
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25092316;EEEF PROF CONCITA BARROS;6,24;6,21;6,23;0,91;5,66
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25092332;EEEF PROFESSORA DAGMAR MENDONCA LIMEIRA;5,00;5,20;5,10;0,91;4,63
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25092839;CENTRO EST EXP DE ENS A SESQUICENTENARIO;6,75;6,85;6,80;0,97;6,58
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093622;EEEF FRANCISCO CAMPOS;4,64;4,89;4,76;0,95;4,50
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093746;EEEF PROF TERCIA BONAVIDES LINS;4,57;4,51;4,54;0,93;4,21
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093754;EEEF CAPISTRANO DE ABREU;5,81;5,34;5,58;0,98;5,45
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093827;EEEF CLAUDINA MANGUEIRA DE MOURA;-;-;-;0,98;-
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093967;EEEFM PROF MARIA BRONZEADO MACHADO;5,45;5,30;5,38;0,85;4,54
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094084;EEEF CAPITULINA SATYRO;4,15;4,62;4,39;0,80;3,53
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094173;EEEF PADRE MIGUELINHO;3,95;4,00;3,97;0,89;3,54
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094220;EEEF MARCILIO DIAS;4,54;4,34;4,44;0,76;3,36
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094254;EEEF PADRE CICERO ROMAO BATISTA;4,59;4,81;4,70;0,77;3,62
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094270;EEEF PROF MATEUS RIBEIRO;4,98;4,60;4,79;0,83;3,98
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094297;EEEF AZORCERIZ PIRES FERREIRA;6,41;5,97;6,19;0,80;4,96
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094335;EEEF ANA HIGINA;4,27;4,35;4,31;0,86;3,72
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094351;EEEF ANTONIO PESSOA;4,88;4,90;4,89;0,81;3,96
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094360;EEEF BORGES DA FONSECA;5,39;5,10;5,25;0,80;4,18
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094378;EEEF CASTRO PINTO;-;-;-;0,85;-
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094408;EEEF DES BOTO DE MENEZES;5,82;5,31;5,56;0,94;5,23
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094416;EEEF DES BRAZ BARACUHY;5,02;5,30;5,16;0,91;4,68
