"IDEPB - 2018
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA";;;;;;;;;;
Etapa de Escolaridade;Rede de Ensino;GRE;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114905;EEEF MILTON CAMPOS;5,47;5,00;5,24;0,77;4,02
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25115049;EEEF PROF PAULO FREIRE;4,49;3,80;4,15;0,54;2,25
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CONDE;25115618;EEEF PROFª ILZA DE ALMEIDA RIBEIRO;4,30;4,62;4,46;0,76;3,41
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25116762;EEEFM LUIZ RIBEIRO LIMEIRA;4,11;3,83;3,97;0,75;2,97
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25124277;EEEFM SEVERINO DIAS DE OLIVEIRA MESTRE SIVUCA;4,52;4,35;4,43;0,71;3,13
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25126180;EEEM CINEASTA LINDUARTE NORONHA;6,22;5,18;5,70;0,46;2,63
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088530;EEEFM DEP FERNANDO MILANEZ;3,48;3,17;3,32;0,78;2,58
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088572;EEEFM FLAVIO RIBEIRO COUTINHO;3,31;2,87;3,09;0,86;2,67
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;MARI;25088963;EEEIEF AUGUSTO DOS ANJOS;4,09;4,13;4,11;-;-
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;MARI;25089013;EEEFM JOSE PAULO DE FRANCA;5,25;4,43;4,84;0,76;3,69
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SAPE;25089781;EEEFM MONS ODILON ALVES PEDROSA;4,19;3,63;3,91;0,83;3,25
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SAPE;25089820;EEEFM GENTIL LINS;4,16;4,07;4,12;0,75;3,08
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;RIACHAO DO POCO;25089838;EEEFM RIACHAO DO POCO;4,76;3,99;4,38;0,56;2,47
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SAPE;25090135;ENE CASSIANO RIBEIRO COUTINHO;4,33;3,97;4,15;0,79;3,28
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090879;EEEFM ENG JOSE DAVILA LINS;3,58;3,40;3,49;0,64;2,25
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090887;EEEFM PROF ANTONIO GOMES;3,89;3,96;3,93;0,61;2,38
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090909;EEEFM IRINEU PINTO;4,45;3,64;4,05;0,90;3,65
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090984;EEEFM JOAO CAETANO;4,69;3,95;4,32;0,64;2,77
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25091000;EEEF TANCREDO NEVES;4,24;3,63;3,93;0,53;2,07
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25091018;EEEF VERALDO LEITE;4,46;3,67;4,06;0,65;2,64
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091549;EEEFM JOSE GUEDES CAVALCANTE;4,68;3,87;4,27;0,84;3,58
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091603;EEEFM PEDRO AMERICO;4,20;3,57;3,88;0,48;1,87
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091611;EEEFM PROFESSOR PEDRO ANIBAL MOURA;4,10;3,80;3,95;0,66;2,59
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091620;EEEFM ABREU E LIMA;3,44;2,94;3,19;0,54;1,73
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091638;EEEFM IMACULADA CONCEICAO;3,73;3,69;3,71;0,69;2,57
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CONDE;25092111;EEEFM PROF JOAO DA CUNHA VINAGRE;3,62;3,55;3,59;0,73;2,62
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25092839;CENTRO EST EXP DE ENS A SESQUICENTENARIO;5,22;4,97;5,09;0,96;4,88
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25092871;CENTRO PROFIS DEP ANTONIO CABRAL;4,90;4,28;4,59;0,60;2,75
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093835;EEEFM COMP LUIS RAMALHO;4,35;3,82;4,09;0,93;3,81
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093843;EEEFM CON FRANCISCO GOMES DE LIMA;5,28;4,52;4,90;0,61;2,99
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093851;EEEFM PROFª LILIOSA DE PAIVA LEITE;4,79;4,60;4,69;0,69;3,24
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093860;EEEFM RAUL MACHADO;3,28;2,96;3,12;0,53;1,65
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093878;EEEM CON LUIZ GONZAGA DE OLIVEIRA;3,93;3,76;3,85;0,59;2,27
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093886;EEEFM FRANCISCA A CUNHA;5,85;5,09;5,47;0,49;2,65
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093894;EEEM PROF PEDRO AUGUSTO PORTO CAMINHA;3,86;3,78;3,82;0,43;1,66
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093916;EEEFM PROF RAUL CORDULA;5,24;4,51;4,87;0,54;2,64
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093932;EEEFM PROF DAURA SANTIAGO RANGEL;3,50;3,56;3,53;0,71;2,52
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093959;EEEFM PROF OLIVINA OLIVIA CARNEIRO DA CUNHA;4,78;4,50;4,64;0,82;3,78
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093975;EEEFM CONEGO NICODEMOS NEVES;4,36;3,76;4,06;0,65;2,65
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094025;EEEFM TENENTE LUCENA;4,01;3,64;3,82;0,98;3,75
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094033;EEEFM MANOEL LISBOA DE MOURA;4,53;3,53;4,03;0,80;3,22
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094050;EEEFM PROF LUIZ GONZAGA DE ALBUQUERQUE BURITY;4,39;4,23;4,31;0,56;2,41
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094106;EEEFM LUZIA SIMOES BARTOLLINI;4,18;3,77;3,97;0,70;2,77
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094114;EEEIEJAFM DONA ALICE CARNEIRO;4,57;4,08;4,33;0,79;3,42
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094122;CPM-ESTUDANTE REBECA CRISTINA ALVES SIMOES;4,86;4,19;4,52;0,90;4,05
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094130;EEEFM ESCRITOR HORACIO DE ALMEIDA;4,18;3,89;4,04;0,78;3,15
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094157;EEEFM ESCRITOR JOSE LINS DO REGO;4,50;4,05;4,27;0,72;3,06
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094181;EEEFM PAPA PAULO VI;4,69;4,54;4,62;0,56;2,60
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094190;EEEFM PRESIDENTE JOAO GOULART;5,16;4,51;4,84;0,78;3,80
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094203;EEEFM DOM JOSE MARIA PIRES;3,45;3,42;3,43;0,59;2,04
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094211;EEEFM JOSE DO PATROCINIO;4,72;4,46;4,59;0,66;3,02
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094262;EEEF PROFESSOR JOAO JOSE DA COSTA;4,62;4,22;4,42;0,85;3,75
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094432;EEEFM DOMINGOS JOSE DA PAIXAO;4,16;3,59;3,87;0,84;3,26
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094459;EEEF DR OTAVIO NOVAIS;4,29;3,95;4,12;0,80;3,29
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094629;EEEF PROFª MARIA GENY DE SOUSA TIMOTEO;3,39;3,53;3,46;-;-
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094637;EEEFM MONS PEDRO ANISIO BEZERRA DANTAS;5,30;4,03;4,67;0,65;3,04
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094653;EEEF PROF ORLANDO CAVALCANTI GOMES;3,88;3,59;3,73;0,70;2,63
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094661;EEEF PEDRO LINS VIEIRA DE MELO;4,57;3,93;4,25;0,82;3,49
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094688;EEEFM PADRE HILDON BANDEIRA;5,33;4,75;5,04;0,89;4,48
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094696;EEEF PADRE IBIAPINA;3,65;3,10;3,38;0,64;2,17
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094726;EEEFM PROF CELESTIN MALZAC;4,60;4,18;4,39;0,83;3,65
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094742;EEEFM PROFESSORA MARIA JACY COSTA;4,88;4,45;4,67;0,71;3,30
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094750;EEEFM PROF OLIVIO PINTO;4,15;3,84;3,99;0,87;3,48
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094777;EEEFM PROFª DEBORA DUARTE;3,56;3,34;3,45;0,76;2,63
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095013;EEEF PROFESSORA ANTONIA RANGEL DE FARIAS;4,23;3,98;4,10;0,76;3,13
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095056;EEEFM PREF OSWALDO PESSOA;4,47;4,20;4,33;0,68;2,95
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095080;EEEFM PADRE ROMA;4,26;4,12;4,19;0,73;3,05
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25096702;ENE PROFª MARIA DO CARMO DE MIRANDA;5,30;4,49;4,90;0,70;3,42
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25097091;EEEFM AUDIOCOMUNICACAO;4,54;3,83;4,19;0,74;3,10
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25097725;INSTITUTO DE EDUCACAO DA PARAIBA IEP;4,43;4,00;4,21;0,83;3,49
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25098357;LYCEU PARAIBANO;4,97;4,52;4,74;0,88;4,20
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;LUCENA;25098632;EEEFM IZAURA FALCAO DE CARVALHO;3,79;3,39;3,59;0,63;2,25
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099116;EEEFM PROF LUIS DE AZEVEDO SOARES;3,61;3,58;3,59;0,62;2,21
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099124;EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO;3,49;3,24;3,36;0,59;1,98
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099159;EEEFM ENEAS CARVALHO;3,70;3,44;3,57;0,68;2,41
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099175;EEEF MARIA HONORINA SANTIAGO;4,10;3,57;3,84;0,65;2,49
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099256;EEEFM MARIA DE LOURDES ARAUJO;3,98;3,95;3,97;0,74;2,94
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099299;EEEFM CARLOS CHAGAS;4,25;3,74;3,99;0,82;3,28
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099507;ENEEFM ANISIO PEREIRA BORGES;3,36;3,10;3,23;0,58;1,88
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099957;EEEFM DE FORTE VELHO;3,52;3,27;3,39;0,54;1,83
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;ALHANDRA;25100033;EEEFM RENATO RIBEIRO COUTINHO;3,50;3,36;3,43;0,75;2,57
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CAAPORA;25100459;EEEF ALBERTO LUNDGREN;3,24;3,53;3,38;-;-
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;PITIMBU;25101072;EEEFM DR JOAO GONCALVES;2,90;3,35;3,12;0,53;1,65
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;PITIMBU;25101099;EEEFM DURVAL GUEDES;3,03;3,13;3,08;0,89;2,75
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;ALHANDRA;25102519;EEEFM ANTONIO CAMELO;3,03;3,03;3,03;0,77;2,34
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114484;EEEFM JOAO ROBERTO BORGES DE SOUZA;5,18;4,49;4,83;0,89;4,28
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114506;EEEFM PROF JOSE BAPTISTA DE MELLO;4,93;4,08;4,50;0,69;3,12
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25115049;EEEF PROF PAULO FREIRE;4,38;3,89;4,14;0,90;3,71
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25116762;EEEFM LUIZ RIBEIRO LIMEIRA;4,36;3,59;3,97;0,71;2,82
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;CAAPORA;25120751;EEEFM PROFª AURICELIA MARIA DA COSTA;4,34;3,86;4,10;0,83;3,40
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SOBRADO;25122401;EEEFM SEVERINA RAMOS DE OLIVEIRA;4,50;4,14;4,32;0,60;2,59
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25123696;EEEFM BENEDITA TARGINO MARANHAO;3,44;3,67;3,55;0,44;1,55
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25124277;EEEFM SEVERINO DIAS DE OLIVEIRA MESTRE SIVUCA;3,68;3,09;3,38;0,78;2,64
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25126180;EEEM CINEASTA LINDUARTE NORONHA;4,36;4,13;4,24;0,61;2,60
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25127594;ETE ERENICE CAVALCANTE FIDELES;4,28;4,26;4,27;0,96;4,10
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25128337;ETE PASTOR JOAO PEREIRA GOMES FILHO;4,92;4,69;4,80;0,89;4,28
3ª série do Ensino Médio;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25128418;EE CIDADA INTEGRAL HELINTON SANTANA;4,34;4,03;4,18;0,91;3,80
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;ARARUNA;25059017;EEEF TARGINO PEREIRA CEPES AN1;4,55;4,81;4,68;0,87;4,09
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SOLANEA;25060384;EEEF CELSO CIRNE;5,49;4,90;5,19;0,90;4,66
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;TACIMA;25061003;EEEF PEDRO TARGINO;5,64;5,36;5,50;0,91;5,02
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;PILOES;25065742;EEEF DOM SANTINO COUTINHO;4,76;4,53;4,65;0,86;3,99
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SERRARIA;25066021;EEEF FRANCISCO DUARTE;4,32;4,51;4,42;0,86;3,78
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;BELEM;25067141;EEEF FELINTO ELIZIO;5,60;5,67;5,64;0,92;5,16
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;CAICARA;25067478;EEEF DOUTOR JOAO SOARES;4,32;4,26;4,29;0,92;3,95
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;LOGRADOURO;25067737;EEEF PREF JOSE ANTONIO NEVES;5,44;5,30;5,37;0,85;4,57
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;DUAS ESTRADAS;25068083;EEEF FRANCISCO COSTA;3,70;4,03;3,87;0,73;2,83
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068652;EEEF PROFESSOR ANTONIO BENVINDO;4,97;4,86;4,91;0,86;4,21
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068695;EEEF DES PEDRO BANDEIRA;4,94;5,41;5,18;0,89;4,60
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068717;EEEF ABDON MIRANDA;6,12;6,67;6,39;0,95;6,06
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068733;EEEF JOAO FRANCELINO DA SILVA;5,67;5,73;5,70;0,76;4,36
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;MULUNGU;25069683;EEEF JARDILINA CRUZ PEREIRA;6,21;7,58;6,89;0,98;6,73
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;MULUNGU;25069713;EEEF DE LOURENCO;6,05;6,36;6,20;1,00;6,20
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;MULUNGU;25069721;EEEF D AMARO BELTRAO;5,29;5,37;5,33;0,96;5,11
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;PIRPIRITUBA;25070290;EEEF MONS WALFREDO LEAL;4,23;4,30;4,26;0,82;3,51
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SERTAOZINHO;25070304;EEEF BELMIRA ARRUDA ALCOFORADO;5,22;4,69;4,96;0,94;4,67
5º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SERRA DA RAIZ;25070584;EEEF PADRE EMIDIO FERNANDES;5,51;6,21;5,86;0,92;5,41
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;ARARUNA;25058975;EEEFM BENJAMIN MARANHAO;4,53;4,33;4,43;0,82;3,63
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;ARARUNA;25059017;EEEF TARGINO PEREIRA CEPES AN1;4,28;4,27;4,27;0,67;2,85
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;CACIMBA DE DENTRO;25059610;EEEF PERILO DE OLIVEIRA;3,74;3,67;3,71;0,95;3,52
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SOLANEA;25060376;EEEFM DR ALFREDO PESSOA DE LIMA;5,01;4,88;4,94;0,84;4,15
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SOLANEA;25060384;EEEF CELSO CIRNE;4,72;4,32;4,52;0,82;3,69
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SOLANEA;25060392;EEEF PE GERALDO DA S PINTO;4,33;4,43;4,38;0,64;2,80
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;TACIMA;25061003;EEEF PEDRO TARGINO;4,25;4,24;4,24;0,60;2,55
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;BORBOREMA;25065513;EEEFM EFIGENIO LEITE;3,76;4,54;4,15;0,50;2,08
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;PILOES;25065726;EEEFM ANTONIETA C DE MENEZES;4,13;4,37;4,25;0,74;3,15
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SERRARIA;25066013;EEEFM ANTONIO BENTO;5,31;5,01;5,16;0,72;3,70
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;ALAGOINHA;25066374;EEEFM AGENOR CLEMENTE DOS SANTOS;5,16;4,42;4,79;0,84;4,03
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;ARACAGI;25066668;EEEF RODRIGUES DE CARVALHO;4,82;4,25;4,54;0,70;3,15
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;BELEM;25067133;EEEFM MARCIA GUEDES ALCOFORADO DE CARVALHO;4,00;3,93;3,96;0,67;2,65
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;CAICARA;25067478;EEEF DOUTOR JOAO SOARES;4,63;4,17;4,40;0,83;3,64
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;LOGRADOURO;25067737;EEEF PREF JOSE ANTONIO NEVES;3,69;3,94;3,82;0,96;3,65
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;CUITEGI;25067869;EEEFM ODILON NELSON DANTAS;4,05;4,22;4,13;0,73;3,02
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;DUAS ESTRADAS;25068075;EEEFM SAGRADO CORACAO DE JESUS;4,67;5,08;4,87;0,53;2,56
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SERTAOZINHO;25068342;EEEFM JOAO DE FREITAS MOUZINHO;4,30;5,22;4,76;0,74;3,53
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068644;EEEF ANTENOR NAVARRO;4,24;3,98;4,11;0,81;3,34
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068660;EEEF DEP GUSTAVO AMORIM;4,87;4,30;4,58;0,81;3,70
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068695;EEEF DES PEDRO BANDEIRA;5,04;4,70;4,87;0,87;4,22
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068709;EEEF JOHN KENNEDY;3,91;3,99;3,95;0,56;2,21
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068725;EEEF PROFESSOR EDGARDO JULIO;4,16;3,61;3,88;0,72;2,80
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;MULUNGU;25069675;EEEFM MAJOR ANTONIO DE AQUINO;4,13;3,97;4,05;0,82;3,30
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;MULUNGU;25069683;EEEF JARDILINA CRUZ PEREIRA;4,51;5,97;5,24;0,85;4,48
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;MULUNGU;25069721;EEEF D AMARO BELTRAO;5,62;5,19;5,40;0,88;4,73
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;PIRPIRITUBA;25070290;EEEF MONS WALFREDO LEAL;4,84;4,87;4,86;0,58;2,82
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SERTAOZINHO;25070304;EEEF BELMIRA ARRUDA ALCOFORADO;4,64;4,14;4,39;0,94;4,11
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;PIRPIRITUBA;25070312;EEEFM AUGUSTO DE ALMEIDA;3,85;3,90;3,88;0,94;3,64
9º ano do Ensino Fundamental;ESTADUAL;2ª GRE-GUARABIRA;SERRA DA RAIZ;25070576;EEEFM MARIA JOSE MIRANDA BURITY;5,02;3,65;4,34;0,99;4,28
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;ARARUNA;25058975;EEEFM BENJAMIN MARANHAO;4,16;3,89;4,02;0,72;2,91
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;RIACHAO;25058991;EEEFM PEDRO RIBEIRO DE LIMA;3,95;3,80;3,87;0,89;3,46
